Порядок,ID темы,utk_id,Блок,Раздел,Название,Сложность,Глоссарий,Финальный квиз,Опорный конспект,Задание на сортировку,Задание на сопоставление
1,topic_12043_botany,12043,block1,Растительный организм,Ботаника – наука о растениях. Разделы ботаники. Связь ботаники с другими науками и техникой,basic,да,да,да,нет,да
2,topic_12044_plant_features,12044,block1,Растительный организм,Общие признаки растений. Уровни организации растительного организма,basic,да,да,да,нет,да
3,topic_12045_higher_lower_plants,12045,block1,Растительный организм,Высшие и низшие растения. Споровые и семенные растения,basic,да,да,да,да,нет
4,topic_12046_plant_cell,12046,block1,Растительный организм,"Растительная клетка. Изучение растительной клетки под световым микроскопом: клеточная оболочка, ядро, цитоплазма (пластиды, митохондрии, вакуоли)",deep,да,да,да,нет,да
5,topic_12047_plant_tissues,12047,block1,Растительный организм,Растительные ткани. Функции растительных тканей,basic,да,да,да,да,нет
6,topic_12048_plant_organs,12048,block1,Растительный организм,"Органы и системы органов растений. Строение, роль и связь между собой",basic,да,да,да,да,нет
7,topic_12077_cell_lab,12077,block1,Растительный организм,"Растительная клетка, её изучение. Лабораторная работа «Изучение микроскопического строения листа элодеи»",basic,да,да,да,нет,нет
8,topic_12078_cell_activity,12078,block1,Растительный организм,Жизнедеятельность клетки,basic,да,да,да,нет,нет
9,topic_12079_tissues_lab,12079,block1,Растительный организм,"Растительные ткани, их функции. Лабораторная работа «Изучение строения растительных тканей»",basic,да,да,да,нет,нет
10,topic_12049_root_nutrition,12049,block2,Питание растений,Корень – орган почвенного (минерального) питания. Корни и корневые системы. Виды корней и типы корневых систем,basic,да,да,да,нет,да
11,topic_12050_root_structure,12050,block2,Питание растений,Внешнее и внутреннее строение корня. Корневой чехлик,basic,да,да,да,нет,да
12,topic_12051_root_zones,12051,block2,Питание растений,Зоны корня. Корневые волоски,basic,да,да,да,да,нет
13,topic_12052_root_growth,12052,block2,Питание растений,"Рост корня. Поглощение корнями воды и минеральных веществ (корневое давление, осмос). Видоизменения корней",basic,да,да,да,да,нет
14,topic_12053_soil,12053,block2,Питание растений,"Почва, её плодородие. Обработка почвы, удобрения, прореживание, полив. Гидропоника",basic,да,да,да,нет,да
15,topic_12054_shoot_buds,12054,block2,Питание растений,Побег и почки. Листорасположение и листовая мозаика,basic,да,да,да,нет,да
16,topic_12055_leaf_structure,12055,block2,Питание растений,Строение и функции листа. Простые и сложные листья. Видоизменения листьев. Внутреннее строение листа,basic,да,да,да,да,нет
17,topic_12056_photosynthesis,12056,block2,Питание растений,Лист – орган воздушного питания. Фотосинтез. Значение фотосинтеза в природе и в жизни человека,deep,да,да,да,нет,да
18,topic_12057_root_respiration,12057,block2,Дыхание растения,Дыхание корня. Рыхление почвы. Лист как орган дыхания (устьичный аппарат),basic,да,да,да,нет,да
19,topic_12058_stem_respiration,12058,block2,Дыхание растения,"Стебель как орган дыхания (устьица в кожице, чечевички). Сущность дыхания растений. Взаимосвязь дыхания с фотосинтезом",basic,да,да,да,нет,да
20,topic_12059_organic_inorganic,12059,block2,Транспорт веществ,Неорганические и органические вещества растения,basic,да,да,да,да,нет
21,topic_12060_stem_axis,12060,block2,Транспорт веществ,Стебель – ось побега. Связь клеточного строения стебля с его функциями. Рост стебля в длину,basic,да,да,да,нет,да
22,topic_12061_stem_wood,12061,block2,Транспорт веществ,"Клеточное строение стебля древесного растения: кора, камбий, древесина и сердцевина. Рост стебля в толщину",basic,да,да,да,да,нет
23,topic_12062_vascular_root,12062,block2,Транспорт веществ,Проводящие ткани корня. Транспорт воды и минеральных веществ (сосуды древесины) – восходящий ток,basic,да,да,да,нет,да
24,topic_12063_transpiration,12063,block2,Транспорт веществ,Испарение воды через стебель и листья (транспирация). Транспорт органических веществ – нисходящий ток. Видоизменённые побеги,basic,да,да,да,да,нет
25,topic_12064_meristem_growth,12064,block2,Рост растения,Образовательные ткани. Конус нарастания побега. Верхушечный и вставочный рост. Камбий. Образование годичных колец,basic,да,да,да,да,нет
26,topic_12065_phytohormones,12065,block2,Рост растения,Влияние фитогормонов на рост растения. Ростовые движения растений. Развитие побега из почки,basic,да,да,да,да,нет
27,topic_12066_growth_management,12066,block2,Рост растения,Управление ростом растения. Формирование кроны,basic,да,да,да,нет,да
28,topic_12067_lateral_shoots,12067,block2,Рост растения,Применение знаний о росте растения в сельском хозяйстве. Развитие боковых побегов,basic,да,да,да,нет,да
29,topic_12068_vegetative_reproduction,12068,block2,Размножение растения,Вегетативное размножение цветковых растений в природе. Вегетативное размножение культурных растений,basic,да,да,да,да,нет
30,topic_12069_clones,12069,block2,Размножение растения,Клоны. Сохранение признаков материнского растения. Хозяйственное значение вегетативного размножения,basic,да,да,да,нет,да
31,topic_12070_flowers_pollination,12070,block2,Размножение растения,Семенное (генеративное) размножение. Цветки и соцветия. Опыление. Перекрёстное опыление и самоопыление,basic,да,да,да,да,нет
32,topic_12071_fertilization,12071,block2,Размножение растения,Двойное оплодотворение. Наследование признаков. Образование плодов и семян,basic,да,да,да,нет,да
33,topic_12072_fruit_types,12072,block2,Размножение растения,Типы плодов. Распространение плодов и семян в природе,basic,да,да,да,да,нет
34,topic_12073_seed_structure,12073,block2,Размножение растения,Состав и строение семян. Условия прорастания семян,deep,да,да,да,да,нет
35,topic_12074_seed_sowing,12074,block2,Размножение растения,Подготовка семян к посеву. Развитие проростков,basic,да,да,да,нет,да
36,topic_12075_plant_development,12075,block2,Развитие растения,Развитие цветкового растения. Периоды его развития. Цикл развития,deep,да,да,да,нет,да
37,topic_12076_environment_life_forms,12076,block2,Развитие растения,Влияние факторов внешней среды на развитие. Жизненные формы цветковых растений,basic,да,да,да,да,нет
38,topic_12080_root_systems_lab,12080,block3,Строение и многообразие покрытосеменных растений,Виды корней и типы корневых систем. Лабораторная работа,basic,да,да,да,нет,да
39,topic_12081_root_modifications,12081,block3,Строение и многообразие покрытосеменных растений,Видоизменения корней,basic,да,да,да,да,нет
40,topic_12082_shoot_lab,12082,block3,Строение и многообразие покрытосеменных растений,Побег. Развитие побега из почки. Лабораторная работа,basic,да,да,да,нет,нет
41,topic_12083_stem_lab,12083,block3,Строение и многообразие покрытосеменных растений,Строение стебля. Лабораторная работа,basic,да,да,да,нет,нет
42,topic_12084_leaf_lab,12084,block3,Строение и многообразие покрытосеменных растений,Внешнее и внутреннее строение листа. Лабораторная работа,basic,да,да,да,нет,нет
43,topic_12085_shoot_modifications_lab,12085,block3,Строение и многообразие покрытосеменных растений,Видоизменения побегов. Лабораторная работа,basic,да,да,да,да,нет
44,topic_12086_flower_lab,12086,block3,Строение и многообразие покрытосеменных растений,Строение и разнообразие цветков. Лабораторная работа,basic,да,да,да,нет,да
45,topic_12087_inflorescences_lab,12087,block3,Строение и многообразие покрытосеменных растений,Соцветия. Лабораторная работа,basic,да,да,да,да,нет
46,topic_12088_fruits,12088,block3,Строение и многообразие покрытосеменных растений,Плоды,basic,да,да,да,нет,да
47,topic_12089_seed_dispersal,12089,block3,Строение и многообразие покрытосеменных растений,Распространение плодов и семян в природе,basic,да,да,да,да,нет
48,topic_12090_plant_metabolism,12090,block4,Жизнедеятельность растительного организма,Обмен веществ у растений,basic,да,да,да,нет,нет
49,topic_12091_mineral_nutrition,12091,block4,Жизнедеятельность растительного организма,Минеральное питание растений. Удобрения,basic,да,да,да,да,нет
50,topic_12092_photosynthesis_lab,12092,block4,Жизнедеятельность растительного организма,Фотосинтез. Практическая работа,basic,да,да,да,нет,нет
51,topic_12093_photosynthesis_role,12093,block4,Жизнедеятельность растительного организма,Роль фотосинтеза в природе и жизни человека,basic,да,да,да,нет,нет
52,topic_12094_root_respiration_lab,12094,block4,Жизнедеятельность растительного организма,Дыхание корня. Лабораторная работа,basic,да,да,да,нет,нет
53,topic_12095_leaf_stem_respiration,12095,block4,Жизнедеятельность растительного организма,Лист и стебель как органы дыхания,basic,да,да,да,нет,нет
54,topic_12096_transport_lab,12096,block4,Жизнедеятельность растительного организма,Транспорт веществ в растении. Практическая работа,basic,да,да,да,нет,нет
55,topic_12097_excretion_leaf_fall,12097,block4,Жизнедеятельность растительного организма,Выделение у растений. Листопад,basic,да,да,да,нет,нет
56,topic_12098_germination_lab,12098,block4,Жизнедеятельность растительного организма,Прорастание семян. Практическая работа,basic,да,да,да,нет,нет
57,topic_12099_growth_development_lab,12099,block4,Жизнедеятельность растительного организма,Рост и развитие растения. Практическая работа,basic,да,да,да,нет,нет
58,topic_12100_reproduction_significance,12100,block4,Жизнедеятельность растительного организма,Размножение растений и его значение,basic,да,да,да,нет,нет
59,topic_12101_pollination_fertilization,12101,block4,Жизнедеятельность растительного организма,Опыление. Двойное оплодотворение,basic,да,да,да,нет,нет
60,topic_12102_fruit_seed_formation,12102,block4,Жизнедеятельность растительного организма,Образование плодов и семян,basic,да,да,да,нет,нет
61,topic_12103_vegetative_reproduction_lab,12103,block4,Жизнедеятельность растительного организма,Вегетативное размножение растений. Практическая работа,basic,да,да,да,нет,нет
62,topic_12104_reserve,12104,block5,Резервное время,Резервный урок. Обобщение знаний,basic,да,да,да,нет,нет
